from,to,relation,member,time,money
nmk,bost,NA,NA,1,NA
nmk,ekm,NA,NA,1,NA
nmk,tgw,NA,NA,1,NA
nmk,tsm,NA,NA,1,NA
nmk,mram,NA,NA,1,NA
nmk,vmram,NA,NA,1,NA
nmk,bius,NA,NA,1,NA
nmk,ihed,NA,NA,1,NA
rg,gwp,1,NA,NA,NA
ccd,scient,NA,1,NA,NA
sccm,scient,NA,1,NA,NA
alfiinsta,alfi,1,NA,NA,NA
sckb,scient,NA,1,NA,NA
sckbw,scient,NA,1,NA,NA
sckbe,scient,NA,1,NA,NA
sckhh,scient,NA,1,NA,NA
sckhe,scient,NA,1,NA,NA
scknw,scient,NA,1,NA,NA
prt,ztp,1,2,NA,NA
svt,ztp,1,2,NA,NA
ztp,wise,NA,NA,NA,NA
cadoim,wise,NA,NA,NA,NA
guw,seao,NA,1,NA,NA
cah,seao,NA,2,NA,NA
guw,wai,7,NA,NA,NA
cah,wai,7,NA,NA,NA
irtt,agi,1,2,NA,NA
pet,agi,1,2,NA,NA
pet,seao,NA,NA,NA,NA
irtt,seao,NA,NA,NA,NA
fs,nmk,7,NA,NA,NA
fs,susi,1,NA,NA,NA
ml,hl,2,NA,NA,NA
ml,nmk,7,NA,NA,NA
hl,nmk,7,NA,NA,NA
ml,sckbw,NA,1,NA,NA
hl,sckbw,NA,1,NA,NA
fs,sckbw,NA,2,NA,NA
ub,hb,2,NA,NA,NA
ub,nmk,7,NA,NA,NA
hb,kug,1,NA,NA,NA
rg,scient,NA,2,NA,NA
dg,scient,NA,2,NA,NA
jl,nmk,7,NA,NA,NA
jl,apvm,1,NA,NA,NA
aw,nmk,7,NA,NA,NA
aw,td,7,NA,NA,NA
aw,md,7,NA,NA,NA
md,trb,1,NA,NA,NA
as,nmk,7,NA,NA,NA
hk,nmk,7,NA,NA,NA
hk,kks,1,NA,NA,NA
ub,scient,NA,2,NA,1
hb,scient,NA,2,NA,1
hk,nmk,7,NA,NA,NA
hk,sckbw,7,NA,NA,NA
seao,scient,NA,1,NA,NA
gs,hlu,1,NA,NA,NA
gs,tge,1,NA,NA,NA
ncm,bt,3,NA,NA,NA
jh,jfmr,1,1,NA,NA
jh,snzd,7,1,NA,NA
mg,bgb,1,1,NA,NA
gs,aa,1,NA,NA,NA
scient,wise,NA,1,NA,NA
scient,kvpm,NA,1,NA,NA
scient,able,NA,1,NA,NA
scient,snzd,NA,1,NA,NA
scient,jfmr,NA,1,NA,NA
scient,dezg,NA,1,NA,NA
scient,nepi,NA,1,NA,NA
scient,ncn,NA,1,NA,NA
scient,snzd,NA,1,NA,NA
scient,jfmr,NA,1,NA,NA
scient,dezg,NA,1,NA,NA
scient,zbw,NA,1,NA,NA
sahive,scient,3,NA,NA,NA
kede,scient,3,NA,NA,NA
gha,scient,3,1,NA,NA
